model,brand,name,cost,megapixels
Canon EOS 7D Mark II,Canon,EOS 7D Mark II,500,20.2
NIKON D500,Nikon,D500,1000,20.9
Canon EOS R5,Canon,EOS R5,2300,45
Canon EOS 7D,Canon,EOS 7D,200,18
NIKON D850,Nikon,D850,1500,45.7
Canon EOS R7,Canon,EOS R7,1500,32.5
NIKON D7200,Nikon,D7200,550,24.2
NIKON D7500,Nikon,D7500,700,20.9
Canon EOS 80D,Canon,EOS 80D,500,24.2
Canon EOS 5D Mark IV,Canon,EOS 5D Mark IV,1000,30.4
Canon EOS 90D,Canon,EOS 90D,900,32.5
NIKON D7100,Nikon,D7100,300,24.1
COOLPIX P900,Nikon,COOLPIX P900,600,16
Canon EOS R6,Canon,EOS R6,2500,20.1
Canon EOS 70D,Canon,EOS 70D,400,20.2
NIKON D750,Nikon,D750,750,24.3
Canon EOS 5D Mark III,Canon,EOS 5D Mark III,700,22.3
NIKON Z 9,Nikon,Z9,4500,45.7
Canon EOS-1D X Mark II,Canon,EOS-1D X Mark II,1600,20.2
DSC-RX10M4,Sony,Cyber-shot DSC-RX10 IV,1200,20.1
ILCE-1,Sony,Alpha 1,4100,50
NIKON D5300,Nikon,D5300,400,24.2
Canon EOS 60D,Canon,EOS 60D,200,18
COOLPIX P1000,Nikon,COOLPIX P1000,1000,16
E-M1MarkII,Olympus,OM-D E-M1 Mark II,500,20.4
OM-1,Olympus,OM-1,1200,20.4
NIKON D7000,Nikon,D7000,200,16.2
NIKON D5600,Nikon,D5600,500,24.2
ILCE-7M3,Sony,Alpha 7 III,1500,24.2
Canon PowerShot SX60 HS,Canon,PowerShot SX60 HS,500,20.3
NIKON Z 8,Nikon,Z8,3500,45.7
Canon EOS-1D X,Canon,EOS-1D X,1000,18.1
ILCE-7M4,Sony,Alpha 7 IV,2500,33
NIKON D810,Nikon,D810,800,36.3
COOLPIX P950,Nikon,COOLPIX P950,800,16
NIKON D3400,Nikon,D3400,250,24.2
ILCE-7RM4,Sony,Alpha 7R IV,2000,61
Canon PowerShot SX50 HS,Canon,PowerShot SX50 HS,200,12.1
Canon EOS 6D Mark II,Canon,EOS 6D Mark II,750,26.2
NIKON D610,Nikon,D610,500,24.3
DC-G9,Panasonic,Lumix G9,500,20.3
NIKON D5200,Nikon,D5200,250,24.1
NIKON D5,Nikon,D5,2100,20.8
ILCE-9,Sony,Alpha 9,1500,24.2
Canon EOS 6D,Canon,EOS 6D,700,26.2
Canon EOS 77D,Canon,EOS 77D,450,24.2
NIKON D800,Nikon,D800,350,36.3
NIKON D3300,Nikon,D3300,250,24.2
NIKON D3500,Nikon,D3500,500,24.2
Canon EOS-1D Mark IV,Canon,EOS-1D Mark IV,600,16.1
Canon EOS Rebel T7i,Canon,EOS Rebel T7i,600,24.2
E-M1X,Olympus,OM-D E-M1X,800,20.4
ILCE-9M2,Sony,Alpha 9 II,2500,24.2
Canon EOS 600D,Canon,EOS Rebel T3i,150,18
COOLPIX B700,Nikon,COOLPIX B700,400,20.2
NIKON Z 7_2,Nikon,Z7 II,1500,45.7
DMC-FZ300,Panasonic,Lumix DMC-FZ300,400,12.1
Canon PowerShot SX70 HS,Canon,PowerShot SX70 HS,700,20.3
NIKON D600,Nikon,D600,400,24.3
NIKON Z 6_2,Nikon,Z6 II,1200,24.5
NIKON D4S,Nikon,D4S,1000,16.2
NIKON D5500,Nikon,D5500,400,24.2
Canon EOS 5DS R,Canon,EOS 5DS R,1200,50.6
ILCE-6400,Sony,Alpha 6400,650,24.2
Canon EOS Rebel T6,Canon,EOS Rebel T6,250,18
ILCE-6500,Sony,Alpha 6500,500,24.2
Canon EOS Rebel T6i,Canon,EOS Rebel T6i,300,24.2
Canon EOS REBEL T3i,Canon,EOS Rebel T3i,150,18
Canon EOS R6m2,Canon,EOS R6 II,2000,24.2
Canon EOS R3,Canon,EOS R3,3000,24
NIKON D90,Nikon,D90,150,12.3
ILCE-7RM4A,Sony,Alpha 7R IVa,2500,61
Canon EOS 5D Mark II,Canon,EOS 5D Mark II,350,21.1
NIKON D300,Nikon,D300,150,12.3
NIKON D4,Nikon,D4,600,16.2
ILCE-7RM3,Sony,Alpha 7R III,1500,42.4
DSC-RX10M3,Sony,Cyber-shot DSC-RX10 III,500,20.1
PENTAX K-3,Pentax,K-3,500,24.3
Canon EOS 700D,Canon,EOS Rebel T5i,300,18
ILCE-6600,Sony,Alpha 6600,1200,24.2
COOLPIX P610,Nikon,COOLPIX P610,250,16
Canon EOS REBEL T5i,Canon,EOS Rebel T5i,300,18
ILCE-7RM5,Sony,Alpha 7R V,3500,61
Canon EOS R10,Canon,EOS R10,650,24.2
Canon EOS R,Canon,EOS R,1000,30.3
NIKON D3200,Nikon,D3200,200,24.2
Canon EOS R8,Canon,EOS R8,1500,24.2
NIKON Z 7,Nikon,Z7,1000,45.7
Canon EOS REBEL T5,Canon,EOS Rebel T5,200,18
Canon EOS 40D,Canon,EOS 40D,100,10.1
E-M5MarkII,Olympus,OM-D E-M5 Mark II,1000,16
Canon EOS RP,Canon,EOS RP,550,26.2
ILCE-6700,Sony,Alpha 6700,1300,26
NIKON D700,Nikon,D700,300,12.1
NIKON Z 5,Nikon,Z5,1100,24.3
Canon EOS REBEL T2i,Canon,EOS Rebel T2i,150,18
NIKON Z 6,Nikon,Z6,1000,24.5
Canon PowerShot SX40 HS,Canon,PowerShot SX40 HS,50,12.1
NIKON D5100,Nikon,D5100,150,16.2
DSC-HX400V,Sony,Cyber-shot DSC-HX400V,150,20.4
COOLPIX P600,Nikon,COOLPIX P600,250,16.1
Canon EOS 550D,Canon,EOS Rebel T2i,150,18
Canon EOS 5DS,Canon,EOS 5DS,1000,50.6
Canon EOS 800D,Canon,EOS Rebel T7i,600,24.2
Canon EOS REBEL T4i,Canon,EOS Rebel T4i,300,18
DMC-GX8,Panasonic,Lumix DMC-GX8,500,20.3
NIKON Z 50,Nikon,Z50,600,20.9
Canon EOS-1D Mark III,Canon,EOS-1D Mark III,500,10.1
ILCE-7RM2,Sony,Alpha 7R II,1000,42.4
ILCE-6300,Sony,Alpha 6300,500,24.2
ILCE-7M2,Sony,Alpha 7 II,600,24.3
Canon EOS-1D X Mark III,Canon,EOS-1D X Mark III,6500,20.1
Canon EOS 750D,Canon,EOS Rebel T6i,300,24.2
X-T3,Fujifilm,X-T3,1000,26.1
NIKON D800E,Nikon,D800E,600,36.3
