catalog_number,model,lens,iso,focal_length,flash,f-stop,shutter_speed,dimensions,original_file_size,recorder,microphone,accessories,camera,common_name,scientific_name,photographer,date,year,rating,num_ratings,location,normalized_rating
418857311,E-M1MarkIII,OLYMPUS M.100-400mm F5.0-6.3,200,342 mm,Flash did not fire,f/6.3,1/800 sec,4023 pixels x 2721 pixels,6.82 MB,,,,,Marbled Duck,Marmaronetta angustirostris,David Fernández,2022-02-20,2022,5.0,25,Europe,5.0
144333121,ILCE-7M3,FE 100-400mm F4.5-5.6 GM OSS,1600,400 mm,"Flash did not fire, auto",f/7.1,1/320 sec,3655 pixels x 2438 pixels,4.95 MB,,,,,Crescent-chested Warbler,Oreothlypis superciliosa,Patrick Van Thull,2019-03-08,2019,5.0,31,North America,5.0
622728122,ILCE-6700,FE 200-600mm F5.6-6.3 G OSS,500,600 mm,Flash did not fire,f/6.3,1/500 sec,3859 pixels x 2588 pixels,3.13 MB,,,,,Coppersmith Barbet,Psilopogon haemacephalus,John Russell,2024-08-20,2024,5.0,62,Asia,5.0
512323911,NIKON D500,300.0 mm f/4.0,2500,420 mm,Flash did not fire,f/5.6,1/1000 sec,4028 pixels x 2685 pixels,5.93 MB,,,,,Yellow-rumped Cacique,Cacicus cela,Charlie Bostwick,2022-01-06,2022,5.0,27,South America,5.0
205901211,Canon EOS 5D Mark III,,,400 mm,"Flash did not fire, auto",f/5.6,1/1250 sec,3200 pixels x 2133 pixels,1.37 MB,,,,,Yellow-throated Bunting,Emberiza elegans,Sicheng Wan,2018-01-26,2018,5.0,22,Asia,5.0
224625911,NIKON D800E,400.0 mm f/2.8,500,400 mm,"Flash did not fire, auto",f/5.0,1/320 sec,1920 pixels x 1080 pixels,795.17 KB,,,,,Himalayan Griffon,Gyps himalayensis,Thierry NOGARO,2015-02-15,2015,5.0,22,Asia,5.0
624401604,OM-1,OLYMPUS M.100-400mm F5.0-6.3,200,400 mm,,f/8.0,1/1000 sec,4116 pixels x 2983 pixels,2.9 MB,,,,,Little Bustard,Tetrax tetrax,Guillermo Risco,2024-10-01,2024,5.0,25,Europe,5.0
457036781,DC-G9,,1250,400 mm,Flash did not fire,f/4.5,1/4000 sec,3135 pixels x 2354 pixels,1.34 MB,,,,,Rufous Treecreeper,Climacteris rufus,Peter Lowe,2022-06-06,2022,5.0,33,Australia,5.0
622492996,Canon EOS R5,EF500mm f/4L IS USM,4000,500 mm,Flash did not fire,f/4.0,1/30 sec,8192 pixels x 5464 pixels,18.17 MB,,,,,Malayan Banded-Pitta,Hydrornis irena,Jan-Peter  Kelder,2024-08-11,2024,5.0,56,Asia,5.0
412820391,Canon EOS 90D,TAMRON SP 150-600mm F/5-6.3 Di VC USD G2 A022,500,552 mm,Flash did not fire,f/7.1,1/2000 sec,3210 pixels x 2297 pixels,1.76 MB,,,,,Red-crested Pochard,Netta rufina,Javier Salcedo Castro,2022-02-01,2022,5.0,35,Europe,5.0
205344891,NIKON D800,300.0 mm f/2.8,2000,300 mm,"Flash did not fire, auto",f/4.5,1/250 sec,4364 pixels x 2912 pixels,2.22 MB,,,,,Black-fronted Piping-Guan,Pipile jacutinga,Adrian Eisen Rupp,2015-08-26,2015,5.0,25,South America,5.0
35706581,NIKON D7100,300.0 mm f/2.8,640,300 mm,"Flash did not fire, auto",f/5.0,1/2500 sec,2656 pixels x 1771 pixels,1.11 MB,,,,,Blue Dacnis,Dacnis cayana,Hudson - BirdsRio,2016-09-02,2016,5.0,25,South America,5.0
54428691,Canon EOS 7D Mark II,EF100-400mm f/4.5-5.6L IS II USM +1.4x III,400,328 mm,"Flash did not fire, auto",f/7.1,1/500 sec,1500 pixels x 2100 pixels,1.46 MB,,,,,Cuban Trogon,Priotelus temnurus,R Dennis Ringer,2017-03-19,2017,5.0,43,North America,5.0
609645775,DSC-RX10M4,,320,220 mm,Flash did not fire,f/4.0,1/250 sec,3212 pixels x 2409 pixels,4.46 MB,,,,,Winter Wren,Troglodytes hiemalis,Stephen Hurst,2022-10-06,2022,5.0,80,North America,5.0
205716931,Canon EOS 60D,205-390mm,800,279 mm,Flash fired,f/5.6,0.02 sec,3000 pixels x 2000 pixels,7.28 MB,,,,,Savanna Nightjar,Caprimulgus affinis,Rusman Budi  Prasetyo,2015-05-03,2015,5.0,23,Asia,5.0
351401471,ILCE-7RM4,FE 200-600mm F5.6-6.3 G OSS,250,600 mm,Flash did not fire,f/7.1,1/500 sec,4368 pixels x 2912 pixels,9.73 MB,,,,,Arabian Waxbill,Estrilda rufibarba,Ibrahim Alshwamin,2021-05-24,2021,5.0,23,Asia,5.0
553725421,NIKON Z 9,NIKKOR Z 800mm f/6.3 VR S,1250,800 mm,Flash did not fire,f/6.3,1/60 sec,3840 pixels x 2160 pixels,4.82 MB,,,,,Red-crowned Barbet,Psilopogon rafflesii,Soong Ming Wong,2023-03-13,2023,5.0,23,Asia,5.0
121598351,NIKON D500,,640,500 mm,Flash did not fire,f/13.0,1/640 sec,1999 pixels x 1600 pixels,232.68 KB,,,,,Blue Finch,Rhopospina caerulescens,Tini & Jacob Wijpkema,2018-10-12,2018,5.0,24,South America,5.0
560823251,NIKON D7500,,560,500 mm,"Flash did not fire, auto",f/5.6,1/500 sec,3754 pixels x 3003 pixels,2.5 MB,,,,,Eastern Screech-Owl,Megascops asio,jen brumfield,2023-04-21,2023,5.0,31,North America,5.0
167647421,NIKON D500,,400,,Flash did not fire,,,5568 pixels x 3712 pixels,1.8 MB,,,,,Maned Duck,Chenonetta jubata,Ryan Kilgower,2019-07-10,2019,5.0,36,Australia,5.0
545185171,Canon EOS R7,EF100-400mm f/4.5-5.6L IS II USM,800,400 mm,Flash did not fire,f/5.6,1/640 sec,4558 pixels x 3039 pixels,1.75 MB,,,,,Spotted Towhee,Pipilo maculatus,Tom Fangrow,2023-03-13,2023,5.0,31,North America,5.0
519262071,NIKON D850,150.0-600.0 mm f/5.0-6.3,5000,600 mm,Flash did not fire,f/6.3,1/1250 sec,4308 pixels x 2842 pixels,609.19 KB,,,,,Greater Pewee,Contopus pertinax,Noah Brinkman,2023-01-01,2023,5.0,31,North America,5.0
554973721,COOLPIX P900,,200,250 mm,Flash did not fire,f/6.3,1/500 sec,4386 pixels x 3383 pixels,2.76 MB,,,,,Chukar,Alectoris chukar,Tuvia Kahn,2023-04-05,2023,5.0,21,Asia,5.0
