catalog_number,model,lens,iso,focal_length,flash,f-stop,shutter_speed,dimensions,original_file_size,recorder,microphone,accessories,camera,common_name,scientific_name,photographer,date,year,rating,num_ratings,location
427148171,Canon EOS R5,EF600mm f/4L IS II USM +1.4x III,1600,840 mm,Flash did not fire,f/7.1,1/400 sec,2200 pixels x 1467 pixels,270.35 KB,,,,,Blue-rumped Parrot,Psittinus cyanurus,Saravanan Krishnamurthy,2022-03-19,2022,5.0,37,Asia
522492561,NIKON D500,200.0-500.0 mm f/5.6,400,460 mm,Flash did not fire,f/5.6,1/15 sec,3311 pixels x 2207 pixels,5.56 MB,,,,,Bornean Banded-Pitta,Hydrornis schwaneri,Wai Loon Wong,2022-12-21,2022,5.0,21,Asia
519807861,Canon EOS R6,RF800mm F11 IS STM,4000,800 mm,Flash did not fire,f/11.0,1/640 sec,3270 pixels x 2180 pixels,2.21 MB,,,,,Surf Scoter,Melanitta perspicillata,Frank Lin,2023-01-02,2023,5.0,54,North America
584587231,Canon EOS R7,EF100-400mm f/4.5-5.6L IS II USM,3200,400 mm,Flash did not fire,f/5.6,1/1000 sec,4577 pixels x 3053 pixels,6.18 MB,,,,,Black-throated Gray Warbler,Setophaga nigrescens,Joachim Bertrands | Ornis Birding Expeditions,2023-06-13,2023,5.0,54,North America
65500251,Canon EOS 7D,EF300mm f/2.8L IS USM +1.4x,320,420 mm,"Flash did not fire, auto",f/6.3,1/4000 sec,4465 pixels x 2793 pixels,6.25 MB,,,,,Steller's Sea-Eagle,Haliaeetus pelagicus,Christoph Moning,2017-02-24,2017,5.0,21,Asia
85111281,NIKON D750,200.0-500.0 mm f/5.6,200,500 mm,"Flash did not fire, auto",f/7.1,1/250 sec,4721 pixels x 3072 pixels,3.95 MB,,,,,Ultramarine Flycatcher,Ficedula superciliaris,Abhishek Das,2016-04-19,2016,5.0,21,Asia
186120601,Canon EOS 90D,EF100-400mm f/4.5-5.6L IS II USM,3200,400 mm,Flash did not fire,f/5.6,1/500 sec,6125 pixels x 4098 pixels,9.95 MB,,,,,Sulawesi Dwarf-Kingfisher,Ceyx fallax,Luke Seitz,2019-10-22,2019,5.0,21,Asia
191885071,NIKON D500,200.0-500.0 mm f/5.6,2500,500 mm,Flash did not fire,f/5.6,0.05 sec,4293 pixels x 2862 pixels,10.24 MB,,,,,Scaly-breasted Kingfisher (Scaly-breasted),Actenoides princeps princeps/erythrorhamphus,Ana Paula Oxom,2019-11-03,2019,5.0,21,Asia
204308231,Canon EOS 5DS R,EF400mm f/2.8L IS II USM,1250,400 mm,"Flash did not fire, auto",f/3.5,1/250 sec,2400 pixels x 1600 pixels,1.74 MB,,,,,Sulawesi Dwarf-Kingfisher,Ceyx fallax,Holger Teichmann,2018-09-09,2018,5.0,21,Asia
302311551,Canon PowerShot SX70 HS,3.8-247mm,100,111.5 mm,Flash did not fire,f/6.3,1/1000 sec,5184 pixels x 3888 pixels,2.52 MB,,,,,Black-headed Gull,Chroicocephalus ridibundus,Bosco Chan,2021-01-29,2021,5.0,21,Asia
333250031,Canon EOS 7D Mark II,EF500mm f/4L IS II USM,400,500 mm,Flash did not fire,f/5.6,1/3200 sec,2539 pixels x 1693 pixels,629.4 KB,,,,,Cinnamon Bittern,Botaurus cinnamomeus,Hari K Patibanda,2021-05-02,2021,5.0,21,Asia
