id,count,avg_rating,avg_weighted_rating,popular_lens,popular_lens_count,best_photo_rating,best_photo_num_ratings,best_photo_catalog_number,best_photo_bird,best_photo_photographer,best_photo_year,best_photo_link,brand,name,cost,megapixels
Canon EOS 7D Mark II,436,4.85,2.71,EF100-400mm f/4.5-5.6L IS II USM,162.0,4.95,1535,39404621,Pied Plover,Luke Seitz,2016,https://macaulaylibrary.org/asset/39404621,Canon,EOS 7D Mark II,500.0,20.2
Nikon D500,320,4.86,2.73,200.0-500.0 mm f/5.6,72.0,4.94,924,175078971,Red-throated Loon,Bryan Calk,2019,https://macaulaylibrary.org/asset/175078971,Nikon,D500,1000.0,20.9
Canon EOS R5,110,4.91,2.8,RF100-500mm F4.5-7.1 L IS USM,53.0,4.96,650,343849361,Blue Grosbeak,Ryan Sanderson,2021,https://macaulaylibrary.org/asset/343849361,Canon,EOS R5,2300.0,45.0
Nikon D850,93,4.85,2.68,500.0 mm f/5.6,20.0,4.94,558,255247461,Brown Booby (Forster's),Yann Muzika,2020,https://macaulaylibrary.org/asset/255247461,Nikon,D850,1500.0,45.7
Nikon D850,93,4.85,2.68,500.0 mm f/5.6,20.0,4.94,558,255247461,Brown Booby (Forster's),Yann Muzika,2020,https://macaulaylibrary.org/asset/255247461,Nikon,D850,1000.0,45.7
Canon EOS 7D,91,4.82,2.64,EF400mm f/5.6L USM,18.0,4.94,608,166003391,Least Bittern,Davey Walters,2019,https://macaulaylibrary.org/asset/166003391,Canon,EOS 7D,200.0,18.0
Nikon D7200,85,4.84,2.64,200.0-500.0 mm f/5.6,17.0,4.97,715,406572681,Ruby-crowned Kinglet,Nico Sarbanes,2022,https://macaulaylibrary.org/asset/406572681,Nikon,D7200,550.0,24.2
Nikon D7500,71,4.87,2.69,200.0-500.0 mm f/5.6,16.0,4.93,562,144866781,Bar-headed Goose,Nitin Chandra,2019,https://macaulaylibrary.org/asset/144866781,Nikon,D7500,700.0,20.9
Canon EOS 80D,63,4.85,2.69,EF100-400mm f/4.5-5.6L IS II USM,13.0,4.96,226,264552941,Black Skimmer,Brendan Fogarty,2020,https://macaulaylibrary.org/asset/264552941,Canon,EOS 80D,500.0,24.2
Canon EOS R7,62,4.9,2.54,RF100-500mm F4.5-7.1 L IS USM,30.0,4.78,229,616058923,Bar-tailed Godwit,Ian Mo,2024,https://macaulaylibrary.org/asset/616058923,Canon,EOS R7,1500.0,32.5
Canon EOS 5D Mark IV,61,4.85,2.71,EF100-400mm f/4.5-5.6L IS II USM,19.0,4.95,619,217711091,Northern Shoveler,Brad Imhoff,2020,https://macaulaylibrary.org/asset/217711091,Canon,EOS 5D Mark IV,1000.0,30.4
Nikon D7100,57,4.84,2.57,200.0-500.0 mm f/5.6,12.0,4.92,1128,84730861,Coal Tit (Black-crested),Abhishek Das,2015,https://macaulaylibrary.org/asset/84730861,Nikon,D7100,300.0,24.1
