id,count,avg_rating,avg_weighted_rating,popular_lens,popular_lens_count,best_photo_rating,best_photo_num_ratings,best_photo_catalog_number,best_photo_bird,best_photo_photographer,best_photo_year,best_photo_link,brand,name,cost,megapixels
Canon EOS 7D Mark II,400,4.89,2.99,EF100-400mm f/4.5-5.6L IS II USM,155.0,4.93,426,87875731,Aplomado Falcon,Christian Fernandez,2018,https://macaulaylibrary.org/asset/87875731,Canon,EOS 7D Mark II,500.0,20.2
Nikon D500,319,4.9,3.04,200.0-500.0 mm f/5.6,72.0,4.94,428,432138011,Cliff Swallow,Anne Spiers,2022,https://macaulaylibrary.org/asset/432138011,Nikon,D500,1000.0,20.9
Canon EOS R5,120,4.94,3.02,RF100-500mm F4.5-7.1 L IS USM,54.0,4.94,452,534030941,Harlequin Duck,Josh Cooper,2023,https://macaulaylibrary.org/asset/534030941,Canon,EOS R5,2300.0,45.0
Canon EOS 7D,82,4.88,2.98,EF400mm f/5.6L USM,20.0,4.85,207,171326041,Harpy Eagle,Ramiro Ramirez,2019,https://macaulaylibrary.org/asset/171326041,Canon,EOS 7D,200.0,18.0
Nikon D850,80,4.89,2.97,500.0 mm f/5.6,20.0,4.91,339,491555361,Cooper's Hawk,Jen Davis,2022,https://macaulaylibrary.org/asset/491555361,Nikon,D850,1500.0,45.7
Canon EOS R7,73,4.95,2.9,RF100-500mm F4.5-7.1 L IS USM,34.0,4.98,171,613934009,Striped Crake,Jandre Verster,2024,https://macaulaylibrary.org/asset/613934009,Canon,EOS R7,1500.0,32.5
Nikon D7200,73,4.89,2.94,200.0-500.0 mm f/5.6,18.0,4.92,111,299102041,Barrow's Goldeneye,Max Brodie,2021,https://macaulaylibrary.org/asset/299102041,Nikon,D7200,550.0,24.2
Nikon D7500,71,4.91,2.95,200.0-500.0 mm f/5.6,17.0,4.96,129,159839731,Golden-winged Warbler,Sylvain Messier,2019,https://macaulaylibrary.org/asset/159839731,Nikon,D7500,700.0,20.9
Canon EOS 80D,65,4.88,3.03,EF100-400mm f/4.5-5.6L IS II USM,14.0,4.88,142,50366231,Black-throated Blue Warbler,Aaron Marshall,2016,https://macaulaylibrary.org/asset/50366231,Canon,EOS 80D,500.0,24.2
Canon EOS 5D Mark IV,59,4.9,2.98,EF100-400mm f/4.5-5.6L IS II USM,19.0,4.96,186,355934311,Rufous Hummingbird,Chuck Gates,2021,https://macaulaylibrary.org/asset/355934311,Canon,EOS 5D Mark IV,1000.0,30.4
Canon EOS 90D,55,4.9,2.93,EF100-400mm f/4.5-5.6L IS II USM,18.0,4.98,169,588925691,Blue-headed Vireo,Emilia Deino,2023,https://macaulaylibrary.org/asset/588925691,Canon,EOS 90D,900.0,32.5
Nikon D7100,53,4.87,2.85,200.0-500.0 mm f/5.6,9.0,4.93,154,240239681,Cedar Waxwing,Joshua Brown,2020,https://macaulaylibrary.org/asset/240239681,Nikon,D7100,300.0,24.1
Nikon COOLPIX P900,48,4.77,2.76,,,4.98,168,166326141,African Penguin,Kalin Ocaña,2019,https://macaulaylibrary.org/asset/166326141,Nikon,COOLPIX P900,600.0,16.0
Canon EOS R6,43,4.92,3.08,RF100-500mm F4.5-7.1 L IS USM,16.0,4.97,357,448672911,Cerulean Warbler,Joley Sullivan,2022,https://macaulaylibrary.org/asset/448672911,Canon,EOS R6,2500.0,20.1
