catalog_number,common_name,scientific_name,photographer,date,year,rating,num_ratings,location,normalized_rating
418857311,Marbled Duck,Marmaronetta angustirostris,David Fernández,2022-02-20,2022,5.0,25,Europe,5.0
144333121,Crescent-chested Warbler,Oreothlypis superciliosa,Patrick Van Thull,2019-03-08,2019,5.0,31,North America,5.0
622728122,Coppersmith Barbet,Psilopogon haemacephalus,John Russell,2024-08-20,2024,5.0,62,Asia,5.0
512323911,Yellow-rumped Cacique,Cacicus cela,Charlie Bostwick,2022-01-06,2022,5.0,27,South America,5.0
205901211,Yellow-throated Bunting,Emberiza elegans,Sicheng Wan,2018-01-26,2018,5.0,22,Asia,5.0
224625911,Himalayan Griffon,Gyps himalayensis,Thierry NOGARO,2015-02-15,2015,5.0,22,Asia,5.0
627902519,Little Bustard,Tetrax tetrax,בארי אברהמוב,2024-12-19,2024,5.0,22,Asia,5.0
624401604,Little Bustard,Tetrax tetrax,Guillermo Risco,2024-10-01,2024,5.0,25,Europe,5.0
457036781,Rufous Treecreeper,Climacteris rufus,Peter Lowe,2022-06-06,2022,5.0,33,Australia,5.0
205226301,Whiskered Pitta,Erythropitta kochi,Robert Hutchinson,2017-09-24,2017,5.0,58,Asia,5.0
283721981,White-tailed Hawk,Geranoaetus albicaudatus,Carlos V. Sucre,2020-11-28,2020,5.0,26,South America,5.0
622492996,Malayan Banded-Pitta,Hydrornis irena,Jan-Peter  Kelder,2024-08-11,2024,5.0,56,Asia,5.0
412820391,Red-crested Pochard,Netta rufina,Javier Salcedo Castro,2022-02-01,2022,5.0,35,Europe,5.0
205344891,Black-fronted Piping-Guan,Pipile jacutinga,Adrian Eisen Rupp,2015-08-26,2015,5.0,25,South America,5.0
35706581,Blue Dacnis,Dacnis cayana,Hudson - BirdsRio,2016-09-02,2016,5.0,25,South America,5.0
54428691,Cuban Trogon,Priotelus temnurus,R Dennis Ringer,2017-03-19,2017,5.0,43,North America,5.0
472924181,Des Murs's Wiretail,Sylviorthorhynchus desmursii,Alex Toledo,2019-05-26,2019,5.0,24,South America,5.0
609645775,Winter Wren,Troglodytes hiemalis,Stephen Hurst,2022-10-06,2022,5.0,80,North America,5.0
205716931,Savanna Nightjar,Caprimulgus affinis,Rusman Budi  Prasetyo,2015-05-03,2015,5.0,23,Asia,5.0
351401471,Arabian Waxbill,Estrilda rufibarba,Ibrahim Alshwamin,2021-05-24,2021,5.0,23,Asia,5.0
553725421,Red-crowned Barbet,Psilopogon rafflesii,Soong Ming Wong,2023-03-13,2023,5.0,23,Asia,5.0
121598351,Blue Finch,Rhopospina caerulescens,Tini & Jacob Wijpkema,2018-10-12,2018,5.0,24,South America,5.0
560823251,Eastern Screech-Owl,Megascops asio,jen brumfield,2023-04-21,2023,5.0,31,North America,5.0
538661131,Osprey,Pandion haliaetus,Alex Sauerbrunn,2023-02-08,2023,5.0,77,North America,5.0
167647421,Maned Duck,Chenonetta jubata,Ryan Kilgower,2019-07-10,2019,5.0,36,Australia,5.0
609074662,Black-fronted Dotterel,Thinornis melanops,Jarryd Guilfoyle,2023-09-20,2023,5.0,36,Australia,5.0
545185171,Spotted Towhee,Pipilo maculatus,Tom Fangrow,2023-03-13,2023,5.0,31,North America,5.0
519262071,Greater Pewee,Contopus pertinax,Noah Brinkman,2023-01-01,2023,5.0,31,North America,5.0
426185501,Cory's/Scopoli's Shearwater,Calonectris borealis/diomedea,Robert Tizard,2021-06-21,2021,5.0,52,Europe,5.0
554973721,Chukar,Alectoris chukar,Tuvia Kahn,2023-04-05,2023,5.0,21,Asia,5.0
334850601,Bar-tailed Lark,Ammomanes cinctura,Metin Tuncer,2021-05-06,2021,5.0,21,Asia,5.0
614128872,Trumpeter Swan,Cygnus buccinator,Andrew Thomas 🦅🪶,2024-01-28,2024,5.0,32,North America,5.0
246396301,Asian Rosy-Finch,Leucosticte arctoa,Tuvshintugs Sukhbaatar,2020-06-26,2020,5.0,20,Asia,5.0
609402754,Rainbow-bearded Thornbill,Chalcostigma herrani,Heiler Uribe,2023-09-29,2023,5.0,36,South America,5.0
601460961,Ferruginous Duck,Aythya nyroca,Carsten Sekula,2023-04-13,2023,5.0,33,Europe,5.0
609578762,Gentoo Penguin,Pygoscelis papua,Shifaan Thowfeequ,2022-11-09,2022,5.0,29,Antarctica,5.0
614098725,Common Murre,Uria aalge,Javier Alonso Almeida,2024-01-28,2024,5.0,33,Europe,5.0
588490921,Bridled Tern,Onychoprion anaethetus,Jaitra Khambhati,2023-06-23,2023,5.0,20,Asia,5.0
568498411,Bank Swallow,Riparia riparia,Graham Deese,2023-05-06,2023,5.0,40,North America,5.0
573812121,Crescent-chested Warbler,Oreothlypis superciliosa,Sandra Peterson,2023-05-17,2023,5.0,40,North America,5.0
624774720,Green Heron,Butorides virescens,Joshua Hogan,2024-10-09,2024,5.0,40,North America,5.0
624535762,Violet-backed Starling,Cinnyricinclus leucogaster,Sarah Rackowski,2024-10-05,2024,5.0,27,Africa,5.0
620094375,Bulwer's Petrel,Bulweria bulwerii,Hugo Blanco,2024-06-01,2024,5.0,57,Europe,5.0
614088872,Wood Thrush,Hylocichla mustelina,Sue&Gary Milks,2024-01-16,2024,5.0,32,North America,5.0
587083371,Little Blue Heron,Egretta caerulea,Francisco Castro Escobar,2023-06-21,2023,5.0,28,South America,5.0
263879411,Cape May Warbler,Setophaga tigrina,Nick  Lund,2020-09-18,2020,5.0,32,North America,5.0
589745441,Peacock Coquette,Lophornis pavoninus,Jhonathan Miranda - Wandering Venezuela Birding Expeditions,2023-06-21,2023,5.0,31,South America,5.0
39845511,Red-legged Cormorant,Poikilocarbo gaimardi,Matías Garrido 🐧,2016-11-12,2016,5.0,30,South America,5.0
102608081,Yellow-billed Cuckoo,Coccyzus americanus,Sue Barth,2018-05-25,2018,5.0,95,North America,5.0
184032571,Purple-throated Carib,Eulampis jugularis,terence zahner,2019-08-29,2019,5.0,41,North America,5.0
495565481,Oilbird,Steatornis caripensis,Óscar Meneses Cerón,2022-07-14,2022,5.0,29,South America,5.0
571259681,Yellow-crowned Night Heron,Nyctanassa violacea,Richard Rulander,2023-05-13,2023,5.0,41,North America,5.0
205209831,Bearded Mountaineer (Eastern),Oreonympha nobilis nobilis,Carlos Calle Quispe,2018-07-30,2018,5.0,29,South America,5.0
406940951,Northern Bald Ibis,Geronticus eremita,Matias Castren,2022-01-17,2022,5.0,53,Europe,5.0
522243021,Common Firecrest,Regulus ignicapilla,Tiago Guerreiro,2022-12-18,2022,5.0,41,Europe,5.0
627029423,Golden-crowned Kinglet,Regulus satrapa,Tom Hambleton,2024-12-02,2024,5.0,41,North America,5.0
302311551,Black-headed Gull,Chroicocephalus ridibundus,Bosco Chan,2021-01-29,2021,5.0,21,Asia,5.0
418696011,Thick-billed Murre,Uria lomvia,Ernest Hahn,2022-02-21,2022,5.0,31,North America,5.0
623583885,White-tufted Grebe,Rollandia rolland,Martín  Perez,2024-09-10,2024,5.0,23,South America,5.0
204350941,Sunda Owlet,Taenioptynx sylvaticus,Bin Wang,2017-04-03,2017,5.0,20,Asia,5.0
423225381,Mountain Avocetbill,Opisthoprora euryptera,Nelson Gustavo Monteros,2022-03-06,2022,5.0,23,South America,5.0
613526850,Northern Shrike,Lanius borealis,Lesley Tullis,2024-01-14,2024,5.0,30,North America,5.0
619089823,Piping Plover,Charadrius melodus,Maceo Susi,2024-05-14,2024,5.0,51,North America,5.0
486606741,Yellow-headed Blackbird,Xanthocephalus xanthocephalus,Caileigh Kirkby,2022-09-22,2022,5.0,30,North America,5.0
419784281,Reddish Egret,Egretta rufescens,Braulio Castillo,2022-02-24,2022,5.0,30,North America,5.0
616180503,Red-winged Blackbird,Agelaius phoeniceus,Alex Cox,2024-03-15,2024,5.0,53,North America,5.0
501959161,Blue Eared-Pheasant,Crossoptilon auritum,Marcel Holyoak,2019-06-08,2019,5.0,29,Asia,5.0
624609457,Long-legged Buzzard (Atlas),Buteo rufinus cirtensis,Laura Rollán,2024-10-05,2024,5.0,22,Europe,5.0
586880461,Limpkin,Aramus guarauna,Alex Marine,2023-05-29,2023,5.0,55,North America,5.0
616787485,Tree Swallow,Tachycineta bicolor,Alva  Steury,2024-04-01,2024,5.0,55,North America,5.0
478299371,Parakeet Auklet,Aethia psittacula,Nathan Goldberg,2022-08-16,2022,5.0,62,North America,5.0
622523391,White-browed Scrubwren,Sericornis frontalis,Gary Dickson,2024-08-14,2024,5.0,59,Australia,5.0
620824013,Greater Prairie-Chicken,Tympanuchus cupido,Tommy Childers,2024-04-13,2024,5.0,55,North America,5.0
125794711,Slender-billed Gull,Chroicocephalus genei,Ohad Sherer,2016-12-23,2016,5.0,30,Asia,5.0
326446401,Sri Lanka Bay-Owl,Phodilus assimilis,Mohamed Mothi,2021-04-11,2021,5.0,31,Asia,5.0
624588808,Flame-throated Bulbul,Rubigula gularis,Shashidhar Joshi,2024-10-04,2024,5.0,37,Asia,5.0
97635141,Laughing Gull,Leucophaeus atricilla,Joseph Bourget,2018-04-28,2018,5.0,60,North America,5.0
424032801,Bald Eagle,Haliaeetus leucocephalus,Yousif Attia,2020-12-20,2020,5.0,60,North America,5.0
372601591,Caucasian Snowcock,Tetraogallus caucasicus,Bradeanu Alin,2021-09-20,2021,5.0,31,Asia,5.0
568756581,Eurasian Nightjar,Caprimulgus europaeus,Piki Ish-Shalom,2023-05-08,2023,5.0,31,Asia,5.0
592403751,Atlantic Puffin,Fratercula arctica,Skokholm Bird Obs,2023-07-08,2023,5.0,21,Europe,5.0
381351011,White-bellied Heron,Ardea insignis,Sagar Gosavi,2019-01-01,2019,5.0,35,Asia,5.0
613474218,Whooper Swan,Cygnus cygnus,Javier Sampedro,2024-01-13,2024,5.0,21,Europe,5.0
616142774,Great Crested Grebe,Podiceps cristatus,Javier Robres,2024-03-17,2024,5.0,21,Europe,5.0
611820524,Australian Painted-Snipe,Rostratula australis,Peter Sternes,2023-12-03,2023,5.0,78,Australia,5.0
627349370,Collared Bush-Robin,Tarsiger johnstoniae,Con-gjie Lin,2024-12-08,2024,5.0,34,Asia,5.0
622697869,Broad-billed Sandpiper,Calidris falcinellus,shahar yogev,2024-08-19,2024,5.0,34,Asia,5.0
521680941,Whooper Swan,Cygnus cygnus,Hung-Chieh Chien,2023-01-08,2023,5.0,28,Asia,5.0
619503963,Wrenthrush,Zeledonia coronata,Josanel Sugasti -photographyandbirdingtourspanama,2024-04-08,2024,5.0,29,North America,5.0
400567381,Anhinga,Anhinga anhinga,Tommy Quarles,2021-12-30,2021,5.0,50,North America,5.0
623281161,Indian Scimitar-Babbler,Pomatorhinus horsfieldii,Sahil 🐧,2024-09-03,2024,5.0,25,Asia,5.0
344878791,Javan Blue-banded Kingfisher,Alcedo euryzona,Leonardus Adi Saktyari,2021-06-02,2021,5.0,24,Asia,5.0
177942031,White-browed Conebill,Conirostrum ferrugineiventre,Alfredo Cornejo,2019-09-11,2019,5.0,23,South America,5.0
266128641,Phainopepla,Phainopepla nitens,Greg Homel,2020-09-26,2020,5.0,44,North America,5.0
301658221,King Eider,Somateria spectabilis,Stephen Davies,2021-01-26,2021,5.0,44,North America,5.0
131454191,Eastern Shrike-tit,Falcunculus frontatus,James  Nicolson,2018-12-27,2018,5.0,40,Australia,5.0
469176991,Eurasian Collared-Dove,Streptopelia decaocto,Lois Santos Pérez,2022-06-25,2022,5.0,36,Europe,5.0
205792941,Pin-tailed Manakin,Ilicura militaris,Aisse Gaertner,2016-03-31,2016,5.0,22,South America,5.0
286106571,European Robin,Erithacus rubecula,Carlos Alberto Ramírez,2020-12-06,2020,5.0,24,Europe,5.0
204950091,Black-throated Thrush,Turdus atrogularis,Richard Tyler,2019-12-18,2019,5.0,24,Europe,5.0
464717391,Brown Falcon,Falco berigora,Jonathan Tickner,2022-07-04,2022,5.0,41,Australia,5.0
614635615,Red-billed Oxpecker,Buphagus erythroryncha,Adarsh Nagda,2024-02-10,2024,5.0,60,Africa,5.0
83211011,Indian Roller,Coracias benghalensis,Peter Arras,2018-01-24,2018,5.0,25,Asia,5.0
104259111,Eurasian Nightjar,Caprimulgus europaeus,Daniel Mitev,2015-06-12,2015,5.0,37,Europe,5.0
622206651,Caspian Snowcock,Tetraogallus caspius,Ömer Kilit,2024-08-04,2024,5.0,27,Asia,5.0
183690081,Hooded Warbler,Setophaga citrina,Jeff O'Connell,2019-10-22,2019,5.0,47,North America,5.0
509007161,Common Gallinule,Gallinula galeata,Gloria Markiewicz,2022-12-01,2022,5.0,47,North America,5.0
164088741,Great Horned Owl,Bubo virginianus,"James R. Hill, III",2019-05-08,2019,5.0,68,North America,5.0
260267301,Baillon's Crake,Zapornia pusilla,Luis Gracia Garcés,2020-09-05,2020,5.0,20,Europe,5.0
432277331,Northern Fulmar,Fulmarus glacialis,Jesse LeBlanc,2022-03-31,2022,5.0,20,Europe,5.0
204294851,Shoebill,Balaeniceps rex,Holger Teichmann,2018-07-09,2018,5.0,117,Africa,5.0
181881821,Purple Martin,Progne subis,Reanna Thomas,2019-05-04,2019,5.0,49,North America,5.0
205839151,Satyr Tragopan,Tragopan satyra,Tshering Tobgay,2019-04-22,2019,5.0,27,Asia,5.0
548901801,Scaly-breasted Kingfisher,Actenoides princeps,Kenneth Cheong,2023-03-15,2023,5.0,42,Asia,5.0
440899151,Siberian Grouse,Falcipennis falcipennis,Grigory Evtukh,2021-05-24,2021,5.0,27,Asia,5.0
265157421,Blue-cheeked Bee-eater,Merops persicus,Levent Göksoy,2020-04-29,2020,5.0,42,Asia,5.0
465280371,Sillem's Rosefinch,Carpodacus sillemi,Shigui Huang,2022-07-05,2022,5.0,27,Asia,5.0
314764061,Northern Shoveler,Spatula clypeata,Gaspar Zaldua,2021-03-06,2021,5.0,33,Europe,5.0
441904641,Eurasian Nightjar,Caprimulgus europaeus,Shlomi Segall,2022-04-30,2022,5.0,67,Asia,5.0
586593931,Short-crested Coquette,Lophornis brachylophus,Anthony Lujan,2023-06-12,2023,5.0,27,North America,5.0
164430521,Golden-crowned Warbler,Basileuterus culicivorus,Giovan Alex,2019-06-15,2019,5.0,41,South America,5.0
608734836,White-tufted Grebe,Rollandia rolland,Tomas Vasquez,2023-07-06,2023,5.0,80,South America,5.0
62488911,Eurasian Dotterel,Eudromias morinellus,Stein Nilsen,2017-06-20,2017,5.0,29,Europe,5.0
115666591,Kori Bustard,Ardeotis kori,Francisco Ahedo Fernandez,2017-11-11,2017,5.0,21,Africa,5.0
603188401,Barred Owl,Strix varia,David Mou,2023-07-23,2023,5.0,28,North America,5.0
539626311,Smew,Mergellus albellus,Richard Peteranderl,2023-02-26,2023,5.0,27,Europe,5.0
50011261,Crested Tit,Lophophanes cristatus,Johan Nilsson,2017-03-04,2017,5.0,32,Europe,5.0
625053749,Red-necked Grebe,Podiceps grisegena,Steve Wickliffe,2024-07-26,2024,5.0,34,North America,5.0
612638980,Snowcap,Microchera albocoronata,Mike Melton,2023-12-25,2023,5.0,33,North America,5.0
311159351,Carolina Wren,Thryothorus ludovicianus,Taylor Sturm,2021-02-24,2021,5.0,33,North America,5.0
65914711,Wood Stork,Mycteria americana,Tom Hince,2017-08-12,2017,5.0,33,North America,5.0
619961116,King Eider,Somateria spectabilis,Hannah Cox,2024-06-02,2024,5.0,28,North America,5.0
204357571,Amur Falcon,Falco amurensis,Ruben Gaasenbeek,2016-02-07,2016,5.0,24,Africa,5.0
613084109,Kentish Plover,Anarhynchus alexandrinus,Nicolás  Magdalena García,2024-01-04,2024,5.0,86,Europe,5.0
