catalog_number,common_name,scientific_name,photographer,date,year,rating,num_ratings,location
427148171,Blue-rumped Parrot,Psittinus cyanurus,Saravanan Krishnamurthy,2022-03-19,2022,5.0,37,Asia
522492561,Bornean Banded-Pitta,Hydrornis schwaneri,Wai Loon Wong,2022-12-21,2022,5.0,21,Asia
519807861,Surf Scoter,Melanitta perspicillata,Frank Lin,2023-01-02,2023,5.0,54,North America
584587231,Black-throated Gray Warbler,Setophaga nigrescens,Joachim Bertrands | Ornis Birding Expeditions,2023-06-13,2023,5.0,54,North America
625632330,Scissor-tailed Flycatcher,Tyrannus forficatus,Matt Zuro,2024-10-30,2024,5.0,54,North America
65500251,Steller's Sea-Eagle,Haliaeetus pelagicus,Christoph Moning,2017-02-24,2017,5.0,21,Asia
80628291,Chestnut Thrush,Turdus rubrocanus,Ayuwat Jearwattanakanok,2017-12-31,2017,5.0,21,Asia
85111281,Ultramarine Flycatcher,Ficedula superciliaris,Abhishek Das,2016-04-19,2016,5.0,21,Asia
186120601,Sulawesi Dwarf-Kingfisher,Ceyx fallax,Luke Seitz,2019-10-22,2019,5.0,21,Asia
191885071,Scaly-breasted Kingfisher (Scaly-breasted),Actenoides princeps princeps/erythrorhamphus,Ana Paula Oxom,2019-11-03,2019,5.0,21,Asia
204308231,Sulawesi Dwarf-Kingfisher,Ceyx fallax,Holger Teichmann,2018-09-09,2018,5.0,21,Asia
302311551,Black-headed Gull,Chroicocephalus ridibundus,Bosco Chan,2021-01-29,2021,5.0,21,Asia
333250031,Cinnamon Bittern,Botaurus cinnamomeus,Hari K Patibanda,2021-05-02,2021,5.0,21,Asia
334850601,Bar-tailed Lark,Ammomanes cinctura,Metin Tuncer,2021-05-06,2021,5.0,21,Asia
372281591,Western Barn Owl,Tyto alba,Emirhan Başak,2021-09-20,2021,5.0,21,Asia
376979491,Lesser Whistling-Duck,Dendrocygna javanica,Raghavendra  Pai,2021-10-11,2021,5.0,21,Asia
392903971,Syrian Serin,Serinus syriacus,Yoav Perlman,2021-12-03,2021,5.0,21,Asia
409507731,Bluethroat,Luscinia svecica,Vyom Vyas,2022-01-23,2022,5.0,21,Asia
460273511,Eurasian Goshawk,Astur gentilis,Levent Göksoy,2021-10-08,2021,5.0,21,Asia
510194271,Western Sandpiper,Calidris mauri,Ryan Sanderson,2022-11-11,2022,5.0,54,North America
427477501,Merlin,Falco columbarius,Mark Chappell,2017-10-16,2017,5.0,54,North America
361743461,Keel-billed Toucan,Ramphastos sulfuratus,Jaap Velden,2021-02-11,2021,5.0,54,North America
341614621,Semipalmated Plover,Charadrius semipalmatus,Matthew Plante,2021-05-23,2021,5.0,32,North America
536791391,Pine Grosbeak,Pinicola enucleator,Timothy Piranian,2023-02-18,2023,5.0,32,North America
535169211,Ring-necked Duck,Aythya collaris,Anne Inga,2023-02-14,2023,5.0,32,North America
523102481,Northern Pintail,Anas acuta,Matthew Dolkart,2023-01-11,2023,5.0,32,North America
522105501,Burrowing Parakeet,Cyanoliseus patagonus,Marky “Map Mommy” Mutchler,2023-01-08,2023,5.0,32,North America
507562571,Bonaparte's Gull,Chroicocephalus philadelphia,Matt Mason,2022-11-26,2022,5.0,32,North America
474974901,Cape Verde Shearwater,Calonectris edwardsii,Nick Bonomo,2022-08-12,2022,5.0,32,North America
461340301,Lark Sparrow,Chondestes grammacus,Gena Flanigen,2022-06-20,2022,5.0,32,North America
449683831,Northern Pintail,Anas acuta,Matt Misewicz,2022-05-15,2022,5.0,32,North America
438790031,Black-and-white Warbler,Mniotilta varia,Matt Felperin,2022-04-19,2022,5.0,32,North America
368173041,Belted Kingfisher,Megaceryle alcyon,Brad Imhoff,2021-09-09,2021,5.0,32,North America
314893911,Golden-crowned Kinglet,Regulus satrapa,Blair Dudeck,2021-03-07,2021,5.0,32,North America
290896961,Red Crossbill (Northeastern or type 12),Loxia curvirostra (type 12),Michael Stubblefield,2020-12-23,2020,5.0,54,North America
278896991,Mexican Sheartail,Doricha eliza,Luis Trinchan,2020-11-07,2020,5.0,32,North America
263879411,Cape May Warbler,Setophaga tigrina,Nick  Lund,2020-09-18,2020,5.0,32,North America
259803801,Canada Warbler,Cardellina canadensis,Evan Lipton,2020-09-02,2020,5.0,32,North America
172922871,Brewer's Sparrow,Spizella breweri,Darren Clark,2019-08-16,2019,5.0,32,North America
270423061,Curlew Sandpiper,Calidris ferruginea,Sharif Uddin,2020-10-11,2020,5.0,54,North America
519839971,Black-eared Barbet,Psilopogon duvaucelii,John Clough,2023-01-03,2023,5.0,21,Asia
542905001,Fujian Niltava,Niltava davidi,James Eaton,2023-03-04,2023,5.0,22,Asia
549686301,Northern Boobook,Ninox japonica,Andy Lee,2022-07-11,2022,5.0,21,Asia
458201481,Black-chinned Babbler,Cyanoderma pyrrhops,Parmil Kumar,2022-06-10,2022,5.0,21,Asia
503655511,Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),Deepak Budhathoki 🦉,2022-11-14,2022,5.0,21,Asia
64797091,Sulphur-bellied Warbler,Phylloscopus griseolus,Craig Brelsford,2017-07-27,2017,5.0,22,Asia
85682551,Bar-backed Partridge,Arborophila brunneopectus,Ian Davies,2017-02-22,2017,5.0,22,Asia
93271981,Desert Finch,Rhodospiza obsoleta,James Kennerley,2018-04-07,2018,5.0,22,Asia
134814031,Sinai Rosefinch,Carpodacus synoicus,Anton Liebermann,2019-01-13,2019,5.0,22,Asia
137348681,Brown-winged Kingfisher,Pelargopsis amauroptera,Mallika Rajasekaran,2019-01-22,2019,5.0,22,Asia
197359051,Snowy-browed Flycatcher,Ficedula hyperythra,Vincent Wang,2017-10-18,2017,5.0,22,Asia
205901211,Yellow-throated Bunting,Emberiza elegans,Sicheng Wan,2018-01-26,2018,5.0,22,Asia
223191001,Reeves's Pheasant,Syrmaticus reevesii,Simon Colenutt,2018-05-03,2018,5.0,22,Asia
224625911,Himalayan Griffon,Gyps himalayensis,Thierry NOGARO,2015-02-15,2015,5.0,22,Asia
465018411,Green Broadbill,Calyptomena viridis,Andaman Kaosung,2022-06-16,2022,5.0,22,Asia
616028106,Yellow-bellied Prinia (Yellow-bellied),Prinia flaviventris [flaviventris Group],Natthaphat Chotjuckdikul,2023-09-10,2023,5.0,21,Asia
554973721,Chukar,Alectoris chukar,Tuvia Kahn,2023-04-05,2023,5.0,21,Asia
582790541,Barred Buttonquail,Turnix suscitator,Sam Hambly,2023-06-09,2023,5.0,21,Asia
593068061,Javan Blue-banded Kingfisher,Alcedo euryzona,Boas Emmanuel,2023-07-08,2023,5.0,21,Asia
610492451,Western Reef-Heron,Egretta gularis,Anonymous,2023-10-28,2023,5.0,21,Asia
612262008,Velvet Scoter,Melanitta fusca,Ogün Aydin,2023-12-14,2023,5.0,21,Asia
612480350,Indian Roller,Coracias benghalensis,Vivek Saggar,2023-12-17,2023,5.0,21,Asia
619282339,Great Spotted Cuckoo,Clamator glandarius,Çağan Abbasoğlu,2024-05-19,2024,5.0,21,Asia
624418353,Common Cuckoo,Cuculus canorus,Abhijit Mishra,2024-10-02,2024,5.0,21,Asia
625872984,Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),Woochan Kwon,2024-11-05,2024,5.0,21,Asia
626475504,Black-crested Bulbul,Rubigula flaviventris,Dorian Anderson,2020-01-02,2020,5.0,21,Asia
626818683,Loten's Sunbird,Cinnyris lotenius,Pramod Prabhu,2024-11-28,2024,5.0,21,Asia
626845721,White-bellied Blue Flycatcher,Cyornis pallidipes,Rakesh Das,2022-12-23,2022,5.0,21,Asia
166069861,Indian Silverbill,Euodice malabarica,Ramesh Desai,2019-06-28,2019,5.0,21,Asia
606192931,Snowy Owl,Bubo scandiacus,Zane Shantz,2021-03-08,2021,5.0,32,North America
609000525,Brown Violetear,Colibri delphinae,Claudia Brasileiro,2021-02-15,2021,5.0,65,South America
299883821,Purple Sandpiper,Calidris maritima,Kojo Baidoo,2021-01-18,2021,5.0,33,North America
65914711,Wood Stork,Mycteria americana,Tom Hince,2017-08-12,2017,5.0,33,North America
61065061,Henslow's Sparrow,Centronyx henslowii,Adam Brandemihl,2017-06-13,2017,5.0,33,North America
35436681,Buff-breasted Sandpiper,Calidris subruficollis,Owen Strickland,2016-09-18,2016,5.0,33,North America
107814681,Western Tanager,Piranga ludoviciana,Matthew Pendleton,2018-07-14,2018,5.0,52,North America
278793561,Downy Woodpecker,Dryobates pubescens,Ryan Schain,2020-11-09,2020,5.0,52,North America
560529711,Scaled Antpitta,Grallaria guatimalensis,Jeff Hapeman,2023-04-20,2023,5.0,52,North America
317725091,Black-hooded Sierra Finch,Phrygilus atriceps,Pablo Re,2021-03-07,2021,5.0,68,South America
433019351,White-rumped Sandpiper,Calidris fuscicollis,Mason Maron,2022-03-19,2022,5.0,68,South America
206445,Ruby-crowned Kinglet,Corthylio calendula,Bob McGuire,2015-06-02,2015,5.0,33,North America
349821671,Channel-billed Toucan,Ramphastos vitellinus,Fernando Farias,2021-06-23,2021,5.0,70,South America
311159351,Carolina Wren,Thryothorus ludovicianus,Taylor Sturm,2021-02-24,2021,5.0,33,North America
551647591,Gray-breasted Mountain-Toucan,Andigena hypoglauca,Phil Chaon,2022-11-12,2022,5.0,58,South America
593867601,Northern Bobwhite,Colinus virginianus,Jack Belleghem,2023-07-13,2023,5.0,33,North America
584790581,Ross's Gull,Rhodostethia rosea,Zak Pohlen,2023-05-26,2023,5.0,33,North America
562180551,Austral Pygmy-Owl,Glaucidium nana,Angus Pritchard,2023-03-21,2023,5.0,59,South America
564972061,Orange-collared Manakin,Manacus aurantiacus,Austin Groff,2023-04-17,2023,5.0,33,North America
509361431,Ross's Goose,Anser rossii,Sam Zhang,2022-12-02,2022,5.0,33,North America
210337321,Musician Wren,Cyphorhinus arada,Ivan Sjögren,2017-12-13,2017,5.0,61,South America
41456421,Burrowing Owl,Athene cunicularia,Michiel Oversteegen,2016-11-29,2016,5.0,63,South America
551655731,Imperial Snipe,Gallinago imperialis,Chris Venetz | Ornis Birding Expeditions,2022-12-28,2022,5.0,61,South America
